,202,...2,...3,...4,codes,category,scheme,pre1,pre2,pre3,phrase,feature,subst,ar,regex,repl,regexcor,test
41,40,40,40,22,# 9nst#,1,9,%,N,NS,nonstandard,not specified,%NGG: nonstandard general,14,(# 9nst#)|(# 9nst#)|(9nst)|(9nst)|(9nst)|(9nst\.)|(#9nst#)|(#9nst #)|(# 9nst#)|(#9nst),%#%,(# 9nst#)|(# 9nst#)|(9nst)|(9nst)|(9nst)|(9nst\.)|(#9nst#)|(#9nst #)|(# 9nst#)|(#9nst),test3
42,41,41,41,38,9nst,1,9,%,N,NS,nonstandard,not specified,%NGG: nonstandard general,14,(# 9nst#)|(# 9nst#)|(9nst)|(9nst)|(9nst)|(9nst\.)|(#9nst#)|(#9nst #)|(# 9nst#)|(#9nst),%#%,(# 9nst#)|(# 9nst#)|(9nst)|(9nst)|(9nst)|(9nst\.)|(#9nst#)|(#9nst #)|(# 9nst#)|(#9nst),test3
43,42,42,42,39,9nst,1,9,%,N,NS,nonstandard,not specified,%NGG: nonstandard general,14,(# 9nst#)|(# 9nst#)|(9nst)|(9nst)|(9nst)|(9nst\.)|(#9nst#)|(#9nst #)|(# 9nst#)|(#9nst),%#%,(# 9nst#)|(# 9nst#)|(9nst)|(9nst)|(9nst)|(9nst\.)|(#9nst#)|(#9nst #)|(# 9nst#)|(#9nst),test3
44,43,43,43,40,9nst,1,9,%,N,NS,nonstandard,not specified,%NGG: nonstandard general,14,(# 9nst#)|(# 9nst#)|(9nst)|(9nst)|(9nst)|(9nst\.)|(#9nst#)|(#9nst #)|(# 9nst#)|(#9nst),%#%,(# 9nst#)|(# 9nst#)|(9nst)|(9nst)|(9nst)|(9nst\.)|(#9nst#)|(#9nst #)|(# 9nst#)|(#9nst),test3
45,44,44,44,113,9nst.,1,9,%,N,NS,nonstandard,not specified,%NGG: nonstandard general,14,(# 9nst#)|(# 9nst#)|(9nst)|(9nst)|(9nst)|(9nst\.)|(#9nst#)|(#9nst #)|(# 9nst#)|(#9nst),%#%,(# 9nst#)|(# 9nst#)|(9nst)|(9nst)|(9nst)|(9nst\.)|(#9nst#)|(#9nst #)|(# 9nst#)|(#9nst),test3
46,45,45,45,NA,#9nst#,1,1,%,N,NS,nonstandard,not specified,%NGG: nonstandard general,14,(# 9nst#)|(# 9nst#)|(9nst)|(9nst)|(9nst)|(9nst\.)|(#9nst#)|(#9nst #)|(# 9nst#)|(#9nst),%#%,(# 9nst#)|(# 9nst#)|(9nst)|(9nst)|(9nst)|(9nst\.)|(#9nst#)|(#9nst #)|(# 9nst#)|(#9nst),test3
47,46,46,46,NA,#9nst #,1,1,%,N,NS,nonstandard,not specified,%NGG: nonstandard general,14,(# 9nst#)|(# 9nst#)|(9nst)|(9nst)|(9nst)|(9nst\.)|(#9nst#)|(#9nst #)|(# 9nst#)|(#9nst),%#%,(# 9nst#)|(# 9nst#)|(9nst)|(9nst)|(9nst)|(9nst\.)|(#9nst#)|(#9nst #)|(# 9nst#)|(#9nst),test3
48,47,47,47,NA,# 9nst#,1,1,%,N,NS,nonstandard,not specified,%NGG: nonstandard general,14,(# 9nst#)|(# 9nst#)|(9nst)|(9nst)|(9nst)|(9nst\.)|(#9nst#)|(#9nst #)|(# 9nst#)|(#9nst),%#%,(# 9nst#)|(# 9nst#)|(9nst)|(9nst)|(9nst)|(9nst\.)|(#9nst#)|(#9nst #)|(# 9nst#)|(#9nst),test3
49,48,48,48,NA,#9nst,1,1,%,N,NS,nonstandard,not specified,%NGG: nonstandard general,14,(# 9nst#)|(# 9nst#)|(9nst)|(9nst)|(9nst)|(9nst\.)|(#9nst#)|(#9nst #)|(# 9nst#)|(#9nst),%#%,(# 9nst#)|(# 9nst#)|(9nst)|(9nst)|(9nst)|(9nst\.)|(#9nst#)|(#9nst #)|(# 9nst#)|(#9nst),test3
50,49,49,49,65,"9double feminine, nst",1,9,%,N,GN,nonstandard,gender,%NGN: nonstandard genus,15,"(9double feminine, nst)|(9nst gen)|(#9nst gen#)|(#9 nst gen#)|(#9nst gen)",%#%,"(9double feminine, nst)|(9nst gen)|(#9nst gen#)|(#9 nst gen#)|(#9nst gen)",test3
51,50,50,50,77,9nst gen,1,9,%,N,GN,nonstandard,gender,%NGN: nonstandard genus,15,"(9double feminine, nst)|(9nst gen)|(#9nst gen#)|(#9 nst gen#)|(#9nst gen)",%#%,"(9double feminine, nst)|(9nst gen)|(#9nst gen#)|(#9 nst gen#)|(#9nst gen)",test3
52,51,51,51,NA,#9nst gen#,1,1,%,N,GN,nonstandard,gender,%NGN: nonstandard genus,15,"(9double feminine, nst)|(9nst gen)|(#9nst gen#)|(#9 nst gen#)|(#9nst gen)",%#%,"(9double feminine, nst)|(9nst gen)|(#9nst gen#)|(#9 nst gen#)|(#9nst gen)",test3
53,52,52,52,NA,#9 nst gen#,1,1,%,N,GN,nonstandard,gender,%NGN: nonstandard genus,15,"(9double feminine, nst)|(9nst gen)|(#9nst gen#)|(#9 nst gen#)|(#9nst gen)",%#%,"(9double feminine, nst)|(9nst gen)|(#9nst gen#)|(#9 nst gen#)|(#9nst gen)",test3
54,53,53,53,NA,#9nst gen,1,1,%,N,GN,nonstandard,gender,%NGN: nonstandard genus,15,"(9double feminine, nst)|(9nst gen)|(#9nst gen#)|(#9 nst gen#)|(#9nst gen)",%#%,"(9double feminine, nst)|(9nst gen)|(#9nst gen#)|(#9 nst gen#)|(#9nst gen)",test3
55,54,54,54,NA,#9nst i.o.#,1,1,%,N,IO,nonstandard,i.o.,%NIO: nonstandard i.o.,16,(#9nst i\.o\.#),%#%,(#9nst i\.o\.#),test3
56,55,55,55,35,90 obj,2,9,%,0,OB,zero,object,%0OB: zero object,17,(90 obj)|(90 obj)|(#90 obj#)|(#90 obj\.#),%#%,(90 obj)|(90 obj)|(#90 obj#)|(#90 obj\.#),test3
57,56,56,56,121,90 obj,2,9,%,0,OB,zero,object,%0OB: zero object,17,(90 obj)|(90 obj)|(#90 obj#)|(#90 obj\.#),%#%,(90 obj)|(90 obj)|(#90 obj#)|(#90 obj\.#),test3
58,57,57,57,NA,#90 obj#,2,1,%,0,OB,zero,object,%0OB: zero object,17,(90 obj)|(90 obj)|(#90 obj#)|(#90 obj\.#),%#%,(90 obj)|(90 obj)|(#90 obj#)|(#90 obj\.#),test3
59,58,58,58,NA,#90 obj.#,2,1,%,0,OB,zero,object,%0OB: zero object,17,(90 obj)|(90 obj)|(#90 obj#)|(#90 obj\.#),%#%,(90 obj)|(90 obj)|(#90 obj#)|(#90 obj\.#),test3
60,59,59,59,59,9ck tape,3,9,%,C,OM,cmnt,check tape,%COM: cmnt check tape,18,(9ck tape)|(#check tape#),%#%,(9ck tape)|(#check tape#),test3
61,60,60,60,NA,#check tape#,3,1,%,C,OM,cmnt,check tape,%COM: cmnt check tape,18,(9ck tape)|(#check tape#),%#%,(9ck tape)|(#check tape#),test3
62,61,61,61,60,9besondere Form,3,9,%,C,OM,cmnt,form,%COM: cmnt form,19,(9besondere Form),%#%,(9besondere Form),test3
63,62,62,62,NA,#Gestik#,3,1,%,C,OM,cmnt,gesture,%COM: cmnt gesture,20,(#Gestik#),%#%,(#Gestik#),test3
64,63,63,63,NA,#innere Monolog#,3,1,%,C,OM,cmnt,inner monologue,%COM: cmnt inner monologue,21,(#innere Monolog#),%#%,(#innere Monolog#),test3
65,64,64,64,NA,#unverstaendlich#,3,1,%,C,OM,cmnt,unintelligible,%COM: cmnt unintelligible,22,(#unverstaendlich#)|(unverstaendlich),%#%,(#unverstaendlich#)|(unverstaendlich),test3
66,65,65,65,NA,unverstaendlich,3,1,%,C,OM,cmnt,unintelligible,%COM: cmnt unintelligible,22,(#unverstaendlich#)|(unverstaendlich),%#%,(#unverstaendlich#)|(unverstaendlich),test3
67,66,66,66,NA,#lachen#,3,1,%,C,OM,cmnt,laughter,%COM: cmnt laughter,23,(#lachen#)|(#Lachen#),%#%,(#lachen#)|(#Lachen#),test3
68,67,67,67,NA,#Lachen#,3,1,%,C,OM,cmnt,laughter,%COM: cmnt laughter,23,(#lachen#)|(#Lachen#),%#%,(#lachen#)|(#Lachen#),test3
69,68,68,68,NA,#9misunderstand#,3,1,%,C,OM,cmnt,misunderstanding,%COM: cmnt misunderstanding,24,(#9misunderstand#)|(#9misunderstands#)|(#minunderstands .wann.\?#)|(#misunderstands .welchen.#),%#%,(#9misunderstand#)|(#9misunderstands#)|(#minunderstands .wann.\?#)|(#misunderstands .welchen.#),test3
70,69,69,69,NA,#9misunderstands#,3,1,%,C,OM,cmnt,misunderstanding,%COM: cmnt misunderstanding,24,(#9misunderstand#)|(#9misunderstands#)|(#minunderstands .wann.\?#)|(#misunderstands .welchen.#),%#%,(#9misunderstand#)|(#9misunderstands#)|(#minunderstands .wann.\?#)|(#misunderstands .welchen.#),test3
71,70,70,70,NA,"#minunderstands ""wann""?#",3,1,%,C,OM,cmnt,misunderstanding 'wann',%COM: cmnt misunderstanding,24,(#9misunderstand#)|(#9misunderstands#)|(#minunderstands .wann.\?#)|(#misunderstands .welchen.#),%#%,(#9misunderstand#)|(#9misunderstands#)|(#minunderstands .wann.\?#)|(#misunderstands .welchen.#),test3
72,71,71,71,NA,"#misunderstands ""welchen""#",3,1,%,C,OM,cmnt,misunderstanding 'welchen',%COM: cmnt misunderstanding,24,(#9misunderstand#)|(#9misunderstands#)|(#minunderstands .wann.\?#)|(#misunderstands .welchen.#),%#%,(#9misunderstand#)|(#9misunderstands#)|(#minunderstands .wann.\?#)|(#misunderstands .welchen.#),test3
73,72,72,72,NA,#Pause#,4,2,%,P,AU,pause,NA,%PAU: pause,25,(#Pause#)|(…@), ((...)) ,(#Pause#)|(…@),test3
74,73,73,73,NA,…@,4,1,%,P,AU,pause,NA,%PAU: pause,25,(#Pause#)|(…@), ((...)) ,(#Pause#)|(…@),test3
75,73,73,73,NA,...@,4,1,%,P,AU,pause,NA,%PAU: pause,25,(#Pause#)|(...@), ((...)) ,(#Pause#)|(…@),test3
76,73,73,73,NA,#(P)#,4,1,%,P,AU,pause,NA,%PAU: pause,25,(#Pause#)|(...@), ((...)) ,(#Pause#)|(…@),test3
77,74,74,74,NA,#? #,3,1,%,C,OM,cmnt,Q,%COM: cmnt Q,26,(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#),%#%,(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#),test3
78,75,75,75,NA,# ---#,3,1,%,C,OM,cmnt,Q,%COM: cmnt Q,26,(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#),%#%,(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#),test3
79,76,76,76,NA,---#,3,1,%,C,OM,cmnt,Q,%COM: cmnt Q,26,(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#),%#%,(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#),test3
80,77,77,77,NA,#grrrrrr#,3,1,%,C,OM,cmnt,Q,%COM: cmnt Q,26,(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#),%#%,(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#),test3
81,78,78,78,NA,#9…#,3,1,%,C,OM,cmnt,Q,%COM: cmnt Q,26,(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#),%#%,(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#),test3
